Date,AI_Revenue_USD_Mn
2022-09-24,106.07
2022-09-25,107.61
2022-09-26,107.46
2022-09-27,106.95
2022-09-28,106.94
2022-09-29,106.56
2022-09-30,106.67
2022-10-01,107.86
2022-10-02,107.24
2022-10-03,108.35
2022-10-04,107.48
2022-10-05,106.96
2022-10-06,106.44
2022-10-07,107.57
2022-10-08,107.68
2022-10-09,107.49
2022-10-10,107.21
2022-10-11,107.67
2022-10-12,107.96
2022-10-13,107.57
2022-10-14,108.19
2022-10-15,107.45
2022-10-16,107.17
2022-10-17,107.61
2022-10-18,107.31
2022-10-19,106.35
2022-10-20,107.3
2022-10-21,107.06
2022-10-22,108.22
2022-10-23,107.14
2022-10-24,107.6
2022-10-25,107.23
2022-10-26,106.42
2022-10-27,108.12
2022-10-28,107.88
2022-10-29,107.89
2022-10-30,107.21
2022-10-31,107.05
2022-11-01,107.45
2022-11-02,107.18
2022-11-03,106.78
2022-11-04,107.92
2022-11-05,107.2
2022-11-06,107.29
2022-11-07,107.96
2022-11-08,107.56
2022-11-09,107.76
2022-11-10,107.07
2022-11-11,107.47
2022-11-12,107.22
2022-11-13,106.99
2022-11-14,107.3
2022-11-15,107.38
2022-11-16,107.95
2022-11-17,107.71
2022-11-18,106.88
2022-11-19,107.3
2022-11-20,107.89
2022-11-21,107.85
2022-11-22,107.43
2022-11-23,107.37
2022-11-24,107.55
2022-11-25,107.61
2022-11-26,107.6
2022-11-27,107.92
2022-11-28,107.25
2022-11-29,106.3
2022-11-30,107.67
2022-12-01,107.98
2022-12-02,107.09
2022-12-03,107.64
2022-12-04,107.13
2022-12-05,107.69
2022-12-06,106.94
2022-12-07,106.84
2022-12-08,107.85
2022-12-09,106.98
2022-12-10,107.96
2022-12-11,107.26
2022-12-12,107.11
2022-12-13,107.13
2022-12-14,108.51
2022-12-15,107.53
2022-12-16,106.5
2022-12-17,107.57
2022-12-18,107.54
2022-12-19,106.51
2022-12-20,107.19
2022-12-21,107.85
2022-12-22,107.1
2022-12-23,108.52
2022-12-24,107.45
2022-12-25,107.61
2022-12-26,108.22
2022-12-27,106.86
2022-12-28,107.4
2022-12-29,107.74
2022-12-30,108.65
2022-12-31,107.73
2023-01-01,129.56
2023-01-02,128.37
2023-01-03,129.21
2023-01-04,128.29
2023-01-05,129.49
2023-01-06,129.8
2023-01-07,128.89
2023-01-08,129.8
2023-01-09,129.72
2023-01-10,128.9
2023-01-11,129.5
2023-01-12,129.38
2023-01-13,129.03
2023-01-14,129.23
2023-01-15,128.75
2023-01-16,129.61
2023-01-17,128.78
2023-01-18,129.52
2023-01-19,127.99
2023-01-20,129.4
2023-01-21,129.63
2023-01-22,128.98
2023-01-23,129.28
2023-01-24,128.19
2023-01-25,128.68
2023-01-26,129.03
2023-01-27,129.3
2023-01-28,129.59
2023-01-29,129.56
2023-01-30,129.7
2023-01-31,129.7
2023-02-01,129.61
2023-02-02,128.93
2023-02-03,129.42
2023-02-04,129.01
2023-02-05,129.07
2023-02-06,129.46
2023-02-07,128.85
2023-02-08,128.48
2023-02-09,128.97
2023-02-10,128.71
2023-02-11,129.07
2023-02-12,129.12
2023-02-13,128.96
2023-02-14,128.48
2023-02-15,129.02
2023-02-16,128.63
2023-02-17,129.46
2023-02-18,128.86
2023-02-19,129.05
2023-02-20,129.87
2023-02-21,128.93
2023-02-22,128.85
2023-02-23,129.25
2023-02-24,127.55
2023-02-25,128.38
2023-02-26,128.56
2023-02-27,128.13
2023-02-28,128.98
2023-03-01,129.65
2023-03-02,127.97
2023-03-03,128.71
2023-03-04,129.07
2023-03-05,128.46
2023-03-06,129.42
2023-03-07,129.49
2023-03-08,128.9
2023-03-09,129.03
2023-03-10,129.43
2023-03-11,128.94
2023-03-12,129.26
2023-03-13,129.13
2023-03-14,129.52
2023-03-15,129.21
2023-03-16,129.86
2023-03-17,129.4
2023-03-18,128.94
2023-03-19,128.53
2023-03-20,129.23
2023-03-21,129.76
2023-03-22,129.54
2023-03-23,129.47
2023-03-24,129.23
2023-03-25,129.11
2023-03-26,128.26
2023-03-27,129.25
2023-03-28,128.46
2023-03-29,128.71
2023-03-30,129.75
2023-03-31,128.66
2023-04-01,128.78
2023-04-02,128.45
2023-04-03,129.01
2023-04-04,128.3
2023-04-05,129.5
2023-04-06,129.02
2023-04-07,128.74
2023-04-08,128.5
2023-04-09,129.37
2023-04-10,129.24
2023-04-11,128.78
2023-04-12,129.69
2023-04-13,129.18
2023-04-14,129.11
2023-04-15,129
2023-04-16,129.21
2023-04-17,128.4
2023-04-18,129.13
2023-04-19,128.42
2023-04-20,128.84
2023-04-21,128.85
2023-04-22,128.74
2023-04-23,129.38
2023-04-24,129.44
2023-04-25,129.32
2023-04-26,130.2
2023-04-27,128.97
2023-04-28,128.52
2023-04-29,128.9
2023-04-30,129.94
2023-05-01,129.06
2023-05-02,128.45
2023-05-03,128.16
2023-05-04,128.34
2023-05-05,128.25
2023-05-06,127.92
2023-05-07,129.21
2023-05-08,129.27
2023-05-09,128.61
2023-05-10,129.55
2023-05-11,129.96
2023-05-12,128.49
2023-05-13,128.97
2023-05-14,128.63
2023-05-15,128.18
2023-05-16,129.54
2023-05-17,129.44
2023-05-18,129.16
2023-05-19,129.19
2023-05-20,128.83
2023-05-21,129.12
2023-05-22,128.6
2023-05-23,129.05
2023-05-24,129.29
2023-05-25,129.07
2023-05-26,129.01
2023-05-27,128.93
2023-05-28,129.47
2023-05-29,128.33
2023-05-30,128.93
2023-05-31,128.68
2023-06-01,129.08
2023-06-02,129.14
2023-06-03,128.12
2023-06-04,129.15
2023-06-05,129.39
2023-06-06,129.38
2023-06-07,128.33
2023-06-08,129.73
2023-06-09,129.8
2023-06-10,129.15
2023-06-11,128.62
2023-06-12,128.28
2023-06-13,128.02
2023-06-14,128.64
2023-06-15,128.63
2023-06-16,128.8
2023-06-17,128.73
2023-06-18,129.24
2023-06-19,128.77
2023-06-20,128.57
2023-06-21,129.31
2023-06-22,129.33
2023-06-23,128.4
2023-06-24,129.68
2023-06-25,129.68
2023-06-26,128.29
2023-06-27,129.45
2023-06-28,129.12
2023-06-29,129.65
2023-06-30,128.84
2023-07-01,129.21
2023-07-02,128.6
2023-07-03,129.23
2023-07-04,129.52
2023-07-05,128.8
2023-07-06,129.54
2023-07-07,129.5
2023-07-08,127.97
2023-07-09,128.32
2023-07-10,129.5
2023-07-11,129.45
2023-07-12,130.15
2023-07-13,128.65
2023-07-14,128.84
2023-07-15,128.88
2023-07-16,129.76
2023-07-17,128.77
2023-07-18,128.56
2023-07-19,128.96
2023-07-20,128.86
2023-07-21,129.03
2023-07-22,129.21
2023-07-23,129.74
2023-07-24,128.99
2023-07-25,128.75
2023-07-26,129.2
2023-07-27,128.8
2023-07-28,129.49
2023-07-29,129.77
2023-07-30,129.03
2023-07-31,128.25
2023-08-01,128.75
2023-08-02,129.36
2023-08-03,129.48
2023-08-04,128.71
2023-08-05,129.39
2023-08-06,129.05
2023-08-07,128.91
2023-08-08,128.92
2023-08-09,128
2023-08-10,128.75
2023-08-11,129.42
2023-08-12,128.45
2023-08-13,129.38
2023-08-14,130.16
2023-08-15,129.57
2023-08-16,129.59
2023-08-17,128.92
2023-08-18,129.43
2023-08-19,129.01
2023-08-20,128.89
2023-08-21,128.52
2023-08-22,129.87
2023-08-23,129.4
2023-08-24,129.46
2023-08-25,128.9
2023-08-26,130.21
2023-08-27,129
2023-08-28,129.17
2023-08-29,128.59
2023-08-30,128.38
2023-08-31,128.99
2023-09-01,129.59
2023-09-02,129.15
2023-09-03,129.1
2023-09-04,128.47
2023-09-05,129.38
2023-09-06,129.71
2023-09-07,129.13
2023-09-08,128.6
2023-09-09,129.54
2023-09-10,128.11
2023-09-11,129.11
2023-09-12,129.5
2023-09-13,129.94
2023-09-14,128.88
2023-09-15,128.81
2023-09-16,128.92
2023-09-17,128.89
2023-09-18,129.43
2023-09-19,128.19
2023-09-20,128.62
2023-09-21,128.65
2023-09-22,128.6
2023-09-23,128.67
2023-09-24,128.44
2023-09-25,129.67
2023-09-26,128.66
2023-09-27,128.85
2023-09-28,129.18
2023-09-29,129.26
2023-09-30,128.07
2023-10-01,128.81
2023-10-02,128.8
2023-10-03,129.18
2023-10-04,128.22
2023-10-05,129.25
2023-10-06,129.6
2023-10-07,128.78
2023-10-08,128.55
2023-10-09,128.97
2023-10-10,129.31
2023-10-11,128.65
2023-10-12,129.34
2023-10-13,129.4
2023-10-14,128.35
2023-10-15,129.36
2023-10-16,128.72
2023-10-17,129.3
2023-10-18,129.63
2023-10-19,128.13
2023-10-20,128.2
2023-10-21,128.68
2023-10-22,128.67
2023-10-23,129.13
2023-10-24,128.44
2023-10-25,128.64
2023-10-26,129.28
2023-10-27,128.24
2023-10-28,129.2
2023-10-29,129.01
2023-10-30,128.99
2023-10-31,128.75
2023-11-01,129.46
2023-11-02,127.97
2023-11-03,128.25
2023-11-04,129.77
2023-11-05,129.26
2023-11-06,128.9
2023-11-07,129.41
2023-11-08,129.48
2023-11-09,129.15
2023-11-10,128.84
2023-11-11,128.55
2023-11-12,128.48
2023-11-13,128.09
2023-11-14,128.86
2023-11-15,129.79
2023-11-16,128.31
2023-11-17,128.37
2023-11-18,128.68
2023-11-19,129.06
2023-11-20,129.45
2023-11-21,128.46
2023-11-22,128.4
2023-11-23,129.01
2023-11-24,128.75
2023-11-25,130.22
2023-11-26,129.11
2023-11-27,128.28
2023-11-28,128.38
2023-11-29,129.05
2023-11-30,129.11
2023-12-01,129.14
2023-12-02,129.31
2023-12-03,129.08
2023-12-04,128.77
2023-12-05,128.6
2023-12-06,129.17
2023-12-07,129.26
2023-12-08,128.95
2023-12-09,128.72
2023-12-10,129.31
2023-12-11,128.77
2023-12-12,129.34
2023-12-13,129.37
2023-12-14,128.81
2023-12-15,129.64
2023-12-16,129.65
2023-12-17,129.33
2023-12-18,128.54
2023-12-19,129.24
2023-12-20,129.94
2023-12-21,128.2
2023-12-22,128.67
2023-12-23,128.84
2023-12-24,129.22
2023-12-25,129.28
2023-12-26,128.2
2023-12-27,128.9
2023-12-28,128.63
2023-12-29,129.18
2023-12-30,129.58
2023-12-31,128.79
2024-01-01,155.23
2024-01-02,155.12
2024-01-03,154.85
2024-01-04,154.04
2024-01-05,154.54
2024-01-06,154.06
2024-01-07,154.95
2024-01-08,153.89
2024-01-09,154.66
2024-01-10,154.91
2024-01-11,155.47
2024-01-12,154.15
2024-01-13,155.96
2024-01-14,155.21
2024-01-15,154.83
2024-01-16,155.13
2024-01-17,153.62
2024-01-18,154.83
2024-01-19,154.89
2024-01-20,154.36
2024-01-21,154.92
2024-01-22,154.57
2024-01-23,155.39
2024-01-24,154.89
2024-01-25,153.92
2024-01-26,154.88
2024-01-27,154.51
2024-01-28,154.69
2024-01-29,154.3
2024-01-30,154.63
2024-01-31,154.33
2024-02-01,155.66
2024-02-02,155.22
2024-02-03,154.19
2024-02-04,154.96
2024-02-05,153.92
2024-02-06,154.8
2024-02-07,155.44
2024-02-08,153.11
2024-02-09,154.34
2024-02-10,154.4
2024-02-11,155.1
2024-02-12,154.46
2024-02-13,154.82
2024-02-14,154.25
2024-02-15,154.36
2024-02-16,154.12
2024-02-17,154.95
2024-02-18,155.87
2024-02-19,154.97
2024-02-20,154.7
2024-02-21,155.76
2024-02-22,155.39
2024-02-23,154.79
2024-02-24,155.1
2024-02-25,154.68
2024-02-26,154.63
2024-02-27,154.86
2024-02-28,154.25
2024-02-29,155.45
2024-03-01,154.85
2024-03-02,154.54
2024-03-03,155.44
2024-03-04,155.28
2024-03-05,154.97
2024-03-06,154.21
2024-03-07,154.84
2024-03-08,154.77
2024-03-09,155.68
2024-03-10,155
2024-03-11,154.77
2024-03-12,154.33
2024-03-13,154.51
2024-03-14,154.85
2024-03-15,154.51
2024-03-16,155.94
2024-03-17,154.35
2024-03-18,154.7
2024-03-19,155.03
2024-03-20,154.91
2024-03-21,154.74
2024-03-22,155.08
2024-03-23,155.25
2024-03-24,154.3
2024-03-25,154.94
2024-03-26,155.23
2024-03-27,155.02
2024-03-28,155.12
2024-03-29,154.33
2024-03-30,155.42
2024-03-31,155.82
2024-04-01,154.67
2024-04-02,153.97
2024-04-03,154.58
2024-04-04,153.89
2024-04-05,153.79
2024-04-06,155.09
2024-04-07,155.5
2024-04-08,155.17
2024-04-09,154.49
2024-04-10,153.63
2024-04-11,154.96
2024-04-12,153.85
2024-04-13,154.88
2024-04-14,153.96
2024-04-15,154.23
2024-04-16,154.44
2024-04-17,155.01
2024-04-18,153.64
2024-04-19,153.55
2024-04-20,154.64
2024-04-21,154.69
2024-04-22,155.39
2024-04-23,154.07
2024-04-24,153.98
2024-04-25,154.28
2024-04-26,154.87
2024-04-27,155.28
2024-04-28,155
2024-04-29,154.2
2024-04-30,154.63
2024-05-01,153.46
2024-05-02,154.83
2024-05-03,154.46
2024-05-04,155.07
2024-05-05,155.53
2024-05-06,153.74
2024-05-07,154.71
2024-05-08,154.58
2024-05-09,155.31
2024-05-10,153.73
2024-05-11,153.76
2024-05-12,155.29
2024-05-13,154.98
2024-05-14,155.29
2024-05-15,154.43
2024-05-16,154.62
2024-05-17,155.3
2024-05-18,154.52
2024-05-19,154
2024-05-20,155.04
2024-05-21,154.3
2024-05-22,155.2
2024-05-23,155.18
2024-05-24,155.77
2024-05-25,153.72
2024-05-26,154.83
2024-05-27,154.48
2024-05-28,154.43
2024-05-29,154.51
2024-05-30,155.43
2024-05-31,155.33
2024-06-01,154.91
2024-06-02,154.26
2024-06-03,154.28
2024-06-04,154.72
2024-06-05,154.94
2024-06-06,154.58
2024-06-07,155.87
2024-06-08,154.21
2024-06-09,154.41
2024-06-10,155.23
2024-06-11,154.53
2024-06-12,154.71
2024-06-13,155.03
2024-06-14,155.83
2024-06-15,153.76
2024-06-16,155.88
2024-06-17,155.05
2024-06-18,155.18
2024-06-19,154.95
2024-06-20,154.18
2024-06-21,154.84
2024-06-22,154.45
2024-06-23,154.65
2024-06-24,154.76
2024-06-25,155.1
2024-06-26,155.36
2024-06-27,155.04
2024-06-28,153.7
2024-06-29,155.06
2024-06-30,154.81
2024-07-01,154.38
2024-07-02,154.46
2024-07-03,154.24
2024-07-04,154.43
2024-07-05,154.84
2024-07-06,154.62
2024-07-07,154.74
2024-07-08,153.69
2024-07-09,154.77
2024-07-10,154.54
2024-07-11,155.3
2024-07-12,155.37
2024-07-13,155.07
2024-07-14,155.13
2024-07-15,154.69
2024-07-16,155.12
2024-07-17,155.17
2024-07-18,154.89
2024-07-19,154.52
2024-07-20,154.83
2024-07-21,155.07
2024-07-22,155.48
2024-07-23,154.94
2024-07-24,155.11
2024-07-25,154.75
2024-07-26,154.97
2024-07-27,155.3
2024-07-28,154.87
2024-07-29,155.24
2024-07-30,155.23
2024-07-31,154.99
2024-08-01,154.32
2024-08-02,154.55
2024-08-03,154.61
2024-08-04,154.98
2024-08-05,154.31
2024-08-06,154.1
2024-08-07,155.03
2024-08-08,154.33
2024-08-09,155.81
2024-08-10,154.99
2024-08-11,154.53
2024-08-12,154.22
2024-08-13,154.08
2024-08-14,154.76
2024-08-15,154.95
2024-08-16,155.72
2024-08-17,154.68
2024-08-18,155.53
2024-08-19,154.25
2024-08-20,154.13
2024-08-21,155.48
2024-08-22,154.32
2024-08-23,154.48
2024-08-24,154.7
2024-08-25,155.72
2024-08-26,154.49
2024-08-27,154.75
2024-08-28,155.77
2024-08-29,153.9
2024-08-30,155.01
2024-08-31,154.31
2024-09-01,155.18
2024-09-02,154.58
2024-09-03,155.43
2024-09-04,154.34
2024-09-05,154.59
2024-09-06,154.91
2024-09-07,155.21
2024-09-08,155.29
2024-09-09,154.05
2024-09-10,155.33
2024-09-11,154.76
2024-09-12,154.36
2024-09-13,154.78
2024-09-14,155.33
2024-09-15,154.87
2024-09-16,154.49
2024-09-17,154.65
2024-09-18,154.35
2024-09-19,154.91
2024-09-20,154.64
2024-09-21,154.78
2024-09-22,155.61
2024-09-23,154.27
2024-09-24,153.71
2024-09-25,153.53
2024-09-26,154.85
2024-09-27,154.38
2024-09-28,154.34
2024-09-29,155.07
2024-09-30,155.23
2024-10-01,155.66
2024-10-02,154.62
2024-10-03,154.47
2024-10-04,155.02
2024-10-05,154.15
2024-10-06,155.38
2024-10-07,155
2024-10-08,154.3
2024-10-09,154.8
2024-10-10,155.35
2024-10-11,155.07
2024-10-12,154.86
2024-10-13,154.4
2024-10-14,155.21
2024-10-15,154.89
2024-10-16,154.7
2024-10-17,154.58
2024-10-18,153.91
2024-10-19,155
2024-10-20,154.88
2024-10-21,154.93
2024-10-22,154.71
2024-10-23,154.54
2024-10-24,155.4
2024-10-25,154.65
2024-10-26,155.16
2024-10-27,154.42
2024-10-28,154.88
2024-10-29,154.48
2024-10-30,154.51
2024-10-31,155.96
2024-11-01,154.58
2024-11-02,154.13
2024-11-03,153.81
2024-11-04,154.84
2024-11-05,155.28
2024-11-06,155.05
2024-11-07,155.88
2024-11-08,155.44
2024-11-09,154.46
2024-11-10,154.98
2024-11-11,155.02
2024-11-12,155.21
2024-11-13,155.52
2024-11-14,154.77
2024-11-15,154.66
2024-11-16,154.9
2024-11-17,155.59
2024-11-18,154.5
2024-11-19,154.01
2024-11-20,154.89
2024-11-21,154.26
2024-11-22,155.28
2024-11-23,155.94
2024-11-24,155.17
2024-11-25,155.66
2024-11-26,155.02
2024-11-27,155.72
2024-11-28,154.78
2024-11-29,155.86
2024-11-30,155.05
2024-12-01,154.07
2024-12-02,154.85
2024-12-03,154.65
2024-12-04,154.88
2024-12-05,155.09
2024-12-06,155.86
2024-12-07,154.43
2024-12-08,155.09
2024-12-09,154.79
2024-12-10,154.28
2024-12-11,155.09
2024-12-12,154.96
2024-12-13,154.06
2024-12-14,154.43
2024-12-15,155.64
2024-12-16,154.8
2024-12-17,154.18
2024-12-18,154.86
2024-12-19,154.15
2024-12-20,153.95
2024-12-21,154.79
2024-12-22,154.55
2024-12-23,155.17
2024-12-24,154.17
2024-12-25,153.82
2024-12-26,154.46
2024-12-27,155.36
2024-12-28,154.47
2024-12-29,154.59
2024-12-30,155.05
2024-12-31,154.77
